2026-06-24 18:25:40,021 | INFO     | __main__ | ============================================================
2026-06-24 18:58:19,220 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:19] "GET /static/app.js HTTP/1.1" 200 -
2026-06-24 18:58:19,378 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:19] "GET /static/style.css HTTP/1.1" 200 -
2026-06-24 18:58:19,581 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:19] "GET /static/manifest.json HTTP/1.1" 200 -
2026-06-24 18:58:21,004 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:21] "GET /api/watchlist HTTP/1.1" 200 -
2026-06-24 18:58:21,006 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:21] "GET /api/status HTTP/1.1" 200 -
2026-06-24 18:58:21,042 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:21] "GET /api/signals?min_prob=60&limit=100 HTTP/1.1" 200 -
2026-06-24 18:58:21,071 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:21] "GET /api/history?limit=100 HTTP/1.1" 200 -
2026-06-24 18:58:21,150 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:21] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-06-24 18:58:21,194 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:21] "GET /static/icon-192.png HTTP/1.1" 200 -
2026-06-24 18:58:24,487 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:24] "GET / HTTP/1.1" 200 -
2026-06-24 18:58:24,511 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:24] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
2026-06-24 18:58:24,519 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:24] "[36mGET /static/manifest.json HTTP/1.1[0m" 304 -
2026-06-24 18:58:24,739 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:24] "[36mGET /static/app.js HTTP/1.1[0m" 304 -
2026-06-24 18:58:25,060 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:25] "GET /api/signals?min_prob=60&limit=100 HTTP/1.1" 200 -
2026-06-24 18:58:25,061 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:25] "GET /api/status HTTP/1.1" 200 -
2026-06-24 18:58:25,078 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:25] "GET /api/history?limit=100 HTTP/1.1" 200 -
2026-06-24 18:58:25,080 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:25] "GET /api/watchlist HTTP/1.1" 200 -
2026-06-24 18:58:25,085 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:25] "[36mGET /static/icon-192.png HTTP/1.1[0m" 304 -
2026-06-24 18:58:54,958 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:58:54] "GET /api/status HTTP/1.1" 200 -
2026-06-24 18:59:25,267 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:59:25] "GET /api/status HTTP/1.1" 200 -
2026-06-24 18:59:54,972 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 18:59:54] "GET /api/status HTTP/1.1" 200 -
2026-06-24 19:00:25,273 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:00:25] "GET /api/status HTTP/1.1" 200 -
2026-06-24 19:00:54,969 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:00:54] "GET /api/status HTTP/1.1" 200 -
2026-06-24 19:01:25,280 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:25] "GET /api/status HTTP/1.1" 200 -
2026-06-24 19:01:43,273 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:43] "GET /api/signals?min_prob=60&limit=100 HTTP/1.1" 200 -
2026-06-24 19:01:44,303 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:44] "GET /api/signals?min_prob=60&limit=100 HTTP/1.1" 200 -
2026-06-24 19:01:44,562 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:44] "GET /api/signals?min_prob=60&limit=100 HTTP/1.1" 200 -
2026-06-24 19:01:44,626 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:44] "GET /api/signals?min_prob=60&limit=100 HTTP/1.1" 200 -
2026-06-24 19:01:55,206 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:55] "GET /api/status HTTP/1.1" 200 -
2026-06-24 19:01:59,652 | INFO     | werkzeug | 127.0.0.1 - - [24/Jun/2026 19:01:59] "GET /api/analyze/WLD HTTP/1.1" 200 -
